Distance_(microns),Gray_Value
5959.807,182.011
5976.361,182.022
5992.917,180.543
6009.472,179.484
6026.026,179.652
6042.582,179.087
6059.137,178.092
6075.691,178.168
6092.247,178.375
6108.802,177.163
6125.356,176.174
6141.912,177.147
6158.467,178.152
6175.021,177.625
6191.577,178.315
6208.132,180.359
6224.687,180.647
6241.242,178.299
6257.797,175.772
6274.352,174.554
6290.907,174.332
6307.462,174.685
6324.017,176.000
6340.572,177.277
6357.127,176.418
6373.682,176.027
6390.237,176.946
6406.792,175.429
6423.347,172.321
6439.902,172.516
6456.457,175.598
6473.012,177.364
