26.419,57.53
53.565,57.53
80.565,57.53
107.565,57.53
134.565,57.53
37.128,58.78
43.003,58.78
64.128,58.78
70.003,58.78
91.128,58.78
97.003,58.78
118.128,58.78
124.003,58.78
37.128,67.53
43.003,67.53
64.128,67.53
70.003,67.53
91.128,67.53
97.003,67.53
118.128,67.53
124.003,67.53
28.128,70.03
34.003,70.03
46.128,70.03
52.003,70.03
55.128,70.03
61.003,70.03
73.128,70.03
79.003,70.03
82.128,70.03
88.003,70.03
100.128,70.03
106.003,70.03
109.128,70.03
115.003,70.03
127.128,70.03
133.003,70.03
28.128,78.78
34.003,78.78
46.128,78.78
52.003,78.78
55.128,78.78
61.003,78.78
73.128,78.78
79.003,78.78
82.128,78.78
88.003,78.78
100.128,78.78
106.003,78.78
109.128,78.78
115.003,78.78
127.128,78.78
133.003,78.78
36.816,81.28
43.003,81.28
63.816,81.28
70.003,81.28
90.816,81.28
97.003,81.28
117.816,81.28
124.003,81.28
36.816,90.03
43.003,90.03
63.816,90.03
70.003,90.03
90.816,90.03
97.003,90.03
117.816,90.03
124.003,90.03
26.565,91.28
53.565,91.28
80.565,91.28
107.565,91.28
134.565,91.28
