Distance_(microns),Gray_Value
5678.371,1870.043
5694.926,1875.489
5711.481,1880.435
5728.036,1880.940
5744.591,1886.582
5761.146,1894.109
5777.701,1898.853
5794.256,1903.755
5810.812,1905.130
5827.366,1908.853
5843.921,1912.576
5860.477,1909.315
5877.031,1907.723
5893.586,1910.549
5910.142,1911.185
5926.696,1910.929
5943.251,1914.125
5959.807,1921.125
5976.361,1923.788
5992.917,1918.978
6009.472,1923.000
6026.026,1935.060
6042.582,1939.489
6059.137,1936.380
6075.691,1931.598
6092.247,1931.364
6108.802,1935.603
6125.356,1939.489
6141.912,1942.000
6158.467,1942.761
6175.021,1943.967
6191.577,1948.337
6208.132,1950.717
6224.687,1951.527
6241.242,1954.712
6257.797,1955.728
6274.352,1954.141
6290.907,1955.641
6307.462,1962.543
6324.017,1969.630
6340.572,1973.071
6357.127,1975.929
6373.682,1976.332
6390.237,1970.978
6406.792,1965.886
6423.347,1965.087
6439.902,1967.277
6456.457,1972.082
6473.012,1976.620
